Focal,day.id,group,play_all,adult_adult_play,encounter,hunt,observation.duration.hour,sex,oestrus,sin.date,cos.date,z.rank,z.age,z.food,z.party
ind1,09/01/2012,North,1,1,no,no,9.616666667,F,no,0.128660544,0.991688693,-1.574382913,-0.742744143,2.905434131,-0.227165471
ind1,10/01/2012,North,1,1,no,yes,8.433333333,F,no,0.145700115,0.989328801,-1.574382913,-0.74248763,2.905434131,0.511873343
ind2,11/01/2012,North,1,0,no,no,5.833333333,F,no,0.162696572,0.98667615,-1.003378605,1.057975695,2.905434131,-1.026105322
ind3,12/01/2012,North,1,0,no,no,10.73333333,F,no,0.179644884,0.983731526,-0.146872142,0.402585498,2.905434131,0.621982871
ind4,13/01/2012,South,0,0,no,no,9.316666667,M,yes,0.196540036,0.9804958,1.280638629,-0.817389367,0.288148703,1.035294764
ind5,14/01/2012,East,1,0,no,no,9.4,M,yes,0.213377029,0.97696993,1.079107697,0.965118063,1.187149604,-0.150034933
ind6,14/01/2012,South,0,0,no,no,10.93333333,F,no,0.213377029,0.97696993,-1.003378605,1.621021286,0.288148703,0.439010598
ind7,15/01/2012,East,0,0,no,no,11.28333333,M,yes,0.23015088,0.973154958,1.280638629,-0.627313384,1.187149604,1.200691732
ind3,15/01/2012,North,1,0,no,no,11.8,F,no,0.23015088,0.973154958,-0.146872142,0.403355036,2.905434131,-0.048710516
ind8,15/01/2012,South,0,0,no,no,6.683333333,F,no,0.23015088,0.973154958,-1.460182052,-1.002078582,0.288148703,0.690027436
ind9,16/01/2012,East,0,0,no,no,7.4,M,no,0.246856625,0.969052014,0.676045832,-1.001822069,1.187149604,0.940890866
ind10,16/01/2012,North,0,0,no,no,8.3,F,no,0.246856625,0.969052014,-0.432374296,1.090296308,2.905434131,-0.592603955
ind11,16/01/2012,South,0,0,no,no,11.41666667,M,yes,0.246856625,0.969052014,1.052236906,-0.627056872,0.288148703,-0.173688995
ind9,17/01/2012,East,0,0,no,no,9.95,M,no,0.263489322,0.964662312,0.877576764,-1.001565556,1.187149604,1.178817949
ind12,17/01/2012,North,0,0,no,yes,9.383333333,F,no,0.263489322,0.964662312,0.138630012,1.153398456,2.905434131,-0.11429049
ind4,17/01/2012,South,0,0,no,no,9.916666667,M,yes,0.263489322,0.964662312,1.280638629,-0.816363316,0.288148703,1.296633259
ind7,18/01/2012,East,0,0,no,no,5.283333333,M,no,0.280044048,0.959987151,1.280638629,-0.626543846,1.187149604,-0.638707979
ind1,18/01/2012,North,1,0,no,no,11.53333333,F,no,0.280044048,0.959987151,-1.574382913,-0.740435528,2.905434131,0.624358945
ind13,18/01/2012,South,0,0,no,no,4.233333333,M,no,0.280044048,0.959987151,0.823835182,-1.057998371,0.288148703,0.110431618
ind2,20/01/2012,North,1,1,no,no,10.85,F,yes,0.312900018,0.94978607,-1.003378605,1.06028431,2.905434131,0.744632215
ind14,20/01/2012,South,0,0,no,no,10.01666667,F,no,0.312900018,0.94978607,-0.774976882,2.090952731,0.288148703,-1.126457203
ind15,21/01/2012,East,0,0,no,no,11,F,no,0.329191539,0.944263168,-1.13773256,-0.25100911,1.187149604,2.444544026
ind10,21/01/2012,North,0,0,no,no,8.6,F,no,0.329191539,0.944263168,-0.432374296,1.091578872,2.905434131,0.330903119
ind16,21/01/2012,South,0,0,no,no,10.65,F,no,0.329191539,0.944263168,-1.916985499,-0.25100911,0.288148703,-1.041595703
ind17,22/01/2012,East,0,0,no,no,9.816666667,F,no,0.345385646,0.938460844,-1.540794425,0.686032139,1.187149604,1.38513903
ind3,22/01/2012,North,1,0,no,no,8.5,F,no,0.345385646,0.938460844,-0.146872142,0.405150626,2.905434131,0.170414071
ind11,22/01/2012,South,0,0,no,no,11.06666667,M,no,0.345385646,0.938460844,1.052236906,-0.625517795,0.288148703,0.148950368
ind18,23/01/2012,East,1,0,no,no,7.916666667,F,no,0.361477548,0.932380814,-1.339263492,-0.063241743,1.187149604,0.801204043
ind12,23/01/2012,North,1,0,no,no,10.33333333,F,no,0.361477548,0.932380814,0.138630012,1.154937533,2.905434131,0.693813097
ind6,23/01/2012,South,0,0,no,no,8.85,F,no,0.361477548,0.932380814,-1.003378605,1.623329901,0.288148703,0.792286223
ind19,24/01/2012,East,1,0,no,no,12.01666667,F,yes,0.377462484,0.926024877,0.071453035,-0.437750427,1.187149604,0.501531977
ind11,24/01/2012,South,0,0,no,no,10.43333333,M,yes,0.377462484,0.926024877,1.052236906,-0.625004769,0.288148703,0.162033264
ind20,25/01/2012,East,1,0,no,no,9.683333333,F,no,0.393335722,0.919394915,-0.533139763,-0.156355888,1.187149604,1.259325365
ind14,25/01/2012,South,0,0,no,no,10.16666667,F,no,0.393335722,0.919394915,-0.774976882,2.092235295,0.288148703,0.699089833
ind5,26/01/2012,East,1,1,no,no,10.21666667,M,yes,0.409092566,0.912492889,1.079107697,0.968196216,1.187149604,0.338129975
ind14,09/02/2012,South,0,0,no,no,10.31666667,F,no,0.614926941,0.788584084,-0.774976882,2.096082987,-0.411859407,0.970935754
ind1,10/02/2012,North,1,0,no,no,9.033333333,F,no,0.628400847,0.777889694,-1.574382913,-0.734535734,0.550844652,-0.025477602
ind11,10/02/2012,South,0,0,no,yes,10.18333333,M,yes,0.628400847,0.777889694,1.052236906,-0.620644052,-0.411859407,0.154128058
ind2,11/02/2012,North,0,0,no,no,11.35,F,no,0.641688798,0.766965114,-1.003378605,1.065927592,0.550844652,0.178764918
ind4,11/02/2012,South,0,0,no,no,10.61666667,M,yes,0.641688798,0.766965114,1.280638629,-0.809950496,-0.411859407,1.295746804
ind2,12/02/2012,North,1,0,no,no,11.91666667,F,yes,0.654786863,0.755813578,-1.003378605,1.066184105,0.550844652,0.667584615
ind16,12/02/2012,South,0,0,no,no,9.45,F,no,0.654786863,0.755813578,-1.916985499,-0.245365829,-0.411859407,-0.2348786
ind9,13/02/2012,East,0,0,no,yes,8.483333333,M,no,0.667691166,0.744438383,0.676045832,-0.99463971,0.125544256,1.16276908
ind21,13/02/2012,South,0,0,no,no,10.75,F,no,0.667691166,0.744438383,-1.231780328,1.62871667,-0.411859407,1.06889022
ind2,14/02/2012,North,1,1,no,no,10.18333333,F,no,0.680397889,0.732842898,-1.003378605,1.06669713,0.550844652,0.519613359
ind13,14/02/2012,South,0,0,no,no,11.43333333,M,yes,0.680397889,0.732842898,0.823835182,-1.051072526,-0.411859407,-1.099349354
ind9,15/02/2012,East,0,0,no,no,8.7,M,no,0.692903271,0.721030552,0.676045832,-0.994126685,0.125544256,0.922920761
ind2,15/02/2012,North,0,0,no,no,10.4,F,no,0.692903271,0.721030552,-1.003378605,1.066953643,0.550844652,0.737805539
ind22,15/02/2012,South,0,0,no,no,9.916666667,M,yes,0.692903271,0.721030552,0.595433459,-1.041068527,-0.411859407,0.353650713
ind9,16/02/2012,East,0,0,no,yes,11.26666667,M,no,0.705203612,0.709004842,0.676045832,-0.993870172,0.125544256,2.092066062
ind7,17/02/2012,East,0,0,no,no,9.216666667,M,no,0.717295272,0.696769326,1.280638629,-0.618848462,0.125544256,-0.673764483
ind1,17/02/2012,North,0,0,no,no,6.833333333,F,no,0.717295272,0.696769326,-1.574382913,-0.732740144,0.550844652,-0.534579378
ind9,18/02/2012,East,0,0,no,no,10.51666667,M,no,0.729174672,0.684327624,0.676045832,-0.993357146,0.125544256,1.780776876
