Group,bout.nr,Focal,pot.partner,play,sex.focal,sex.partner,dyad,prev.aggression,z.rank.focal,z.rank.partner,z.ddsi,z.age.focal,z.age.partner
North,10180,ind8,ind1,0,F,M,Faust_Pandora,0,-1.745965418,1.316815109,-1.186611762,-0.509919175,-1.093646977
North,10180,ind8,ind2,0,F,F,Mystere_Pandora,0,-1.745965418,0.441617834,-1.017362957,-0.509919175,1.230182658
North,10180,ind8,ind3,0,F,F,Narcisse_Pandora,0,-1.745965418,0.149885409,-0.543637979,-0.509919175,0.441538036
North,10180,ind8,ind4,1,F,M,Noureyev_Pandora,0,-1.745965418,1.608547534,-1.072133545,-0.509919175,-0.924420359
North,10180,ind8,ind5,0,F,F,Pandora_Perla,0,-1.745965418,-0.725311866,1.53759854,-0.509919175,1.131399656
North,10180,ind8,ind6,0,F,F,Pandora_Surprise,0,-1.745965418,-1.017044291,-0.834497314,-0.509919175,-0.610527924
North,10184,ind8,ind7,0,F,F,Belle_Pandora,0,-1.745965418,-0.141847016,-0.561863579,-0.509620707,1.164327323
North,10184,ind8,ind1,1,F,M,Faust_Pandora,0,-1.745965418,1.316815109,-1.147780978,-0.509620707,-1.093377078
North,10184,ind8,ind2,0,F,F,Mystere_Pandora,0,-1.745965418,0.441617834,-1.025286965,-0.509620707,1.230452557
North,10184,ind8,ind3,0,F,F,Narcisse_Pandora,0,-1.745965418,0.149885409,-0.552797769,-0.509620707,0.441807935
North,10184,ind8,ind4,0,F,M,Noureyev_Pandora,0,-1.745965418,1.608547534,-0.855408439,-0.509620707,-0.92415046
North,10184,ind8,ind5,0,F,F,Pandora_Perla,0,-1.745965418,-0.725311866,1.526755312,-0.509620707,1.131669555
North,10198,ind5,ind7,0,F,F,Belle_Perla,0,-1.184448639,-0.141847016,1.332277081,1.588011168,1.167026313
North,10198,ind5,ind1,0,F,M,Faust_Perla,0,-1.184448639,1.316815109,-1.411190899,1.588011168,-1.090678089
North,10198,ind5,ind2,0,F,F,Mystere_Perla,0,-1.184448639,0.441617834,1.240572487,1.588011168,1.233151546
North,10198,ind5,ind3,0,F,F,Narcisse_Perla,0,-1.184448639,0.149885409,0.894624245,1.588011168,0.444506924
North,10198,ind5,ind4,1,F,M,Noureyev_Perla,0,-1.184448639,1.608547534,0.364793683,1.588011168,-0.921451471
North,10198,ind5,ind8,0,F,F,Pandora_Perla,0,-1.184448639,-1.308776716,1.525826396,1.588011168,-0.759782023
East,10208,ind20,ind9,0,M,M,Athos_Fredy,0,0.863436085,1.608547534,2.195508107,1.480861218,-0.638327512
East,10208,ind20,ind10,0,M,F,Bamou_Fredy,0,0.863436085,-1.274455254,1.223104678,1.480861218,0.741665627
East,10208,ind20,ind11,0,M,F,Fatima_Fredy,0,0.863436085,-1.480384025,-0.772676189,1.480861218,-1.131162926
East,10208,ind20,ind12,0,M,F,Fredy_Indira,0,0.863436085,-0.862597713,2.096370834,1.480861218,-0.244005201
East,10208,ind20,ind13,0,M,F,Fredy_Korie,0,0.863436085,-0.450740172,-0.136878525,1.480861218,-0.342518304
East,10208,ind20,ind14,0,M,F,Fredy_Pola,0,0.863436085,0.372974911,0.766022569,1.480861218,-0.441301306
East,10208,ind20,ind15,1,M,M,Fredy_Poseidon,0,0.863436085,1.196689993,0.1607417,1.480861218,-1.032649823
East,10208,ind20,ind16,0,M,F,Fredy_Monouie,0,0.863436085,-1.068526484,1.226437311,1.480861218,-0.046978995
East,10209,ind20,ind9,0,M,M,Athos_Fredy,0,0.863436085,1.608547534,2.195508107,1.480861218,-0.638327512
East,10209,ind20,ind10,0,M,F,Bamou_Fredy,0,0.863436085,-1.274455254,1.223104678,1.480861218,0.741665627
East,10209,ind20,ind11,0,M,F,Fatima_Fredy,0,0.863436085,-1.480384025,-0.772676189,1.480861218,-1.131162926
East,10209,ind20,ind12,0,M,F,Fredy_Indira,0,0.863436085,-0.862597713,2.096370834,1.480861218,-0.244005201
East,10209,ind20,ind13,0,M,F,Fredy_Korie,0,0.863436085,-0.450740172,-0.136878525,1.480861218,-0.342518304
East,10209,ind20,ind16,0,M,F,Fredy_Monouie,0,0.863436085,-1.068526484,1.226437311,1.480861218,-0.046978995
East,10209,ind20,ind14,0,M,F,Fredy_Pola,0,0.863436085,0.372974911,0.766022569,1.480861218,-0.441301306
East,10209,ind20,ind15,1,M,M,Fredy_Poseidon,0,0.863436085,1.196689993,0.1607417,1.480861218,-1.032649823
North,10237,ind5,ind7,0,F,F,Belle_Perla,0,-1.184448639,-0.141847016,1.322201925,1.595472863,1.173773785
North,10237,ind5,ind1,1,F,M,Faust_Perla,0,-1.184448639,1.316815109,-1.42025346,1.595472863,-1.083930616
North,10237,ind5,ind2,0,F,F,Mystere_Perla,0,-1.184448639,0.441617834,1.231363995,1.595472863,1.239899019
North,10237,ind5,ind3,0,F,F,Narcisse_Perla,0,-1.184448639,0.149885409,0.912220103,1.595472863,0.451254397
North,10237,ind5,ind4,0,F,M,Noureyev_Perla,0,-1.184448639,1.608547534,0.362484567,1.595472863,-0.914703998
North,10237,ind5,ind8,0,F,F,Pandora_Perla,0,-1.184448639,-1.308776716,1.562537289,1.595472863,-0.75303455
North,10237,ind5,ind6,0,F,F,Perla_Surprise,0,-1.184448639,-1.017044291,0.701539254,1.595472863,-0.600811563
East,10262,ind9,ind10,0,M,F,Athos_Bamou,0,0.863436085,-1.274455254,-0.194466899,-0.36098373,0.751921785
East,10262,ind9,ind17,0,M,F,Athos_Chantal,0,0.863436085,0.578903681,-0.833605134,-0.36098373,0.259086371
East,10262,ind9,ind18,1,M,F,Athos_Ehra,0,0.863436085,-0.656668943,-0.420458191,-0.36098373,0.259086371
East,10262,ind9,ind19,0,M,F,Athos_Elisa,0,0.863436085,-0.038882631,-0.910025742,-0.36098373,0.751921785
East,10262,ind9,ind11,0,M,F,Athos_Fatima,0,0.863436085,-1.480384025,-0.359869951,-0.36098373,-1.120906767
East,10262,ind9,ind20,0,M,M,Athos_Fredy,0,0.863436085,1.608547534,2.257516183,-0.36098373,1.047730993
East,10262,ind9,ind12,0,M,F,Athos_Indira,0,0.863436085,-0.862597713,0.913392034,-0.36098373,-0.233749043
East,10262,ind9,ind13,0,M,F,Athos_Korie,0,0.863436085,-0.450740172,-0.781262566,-0.36098373,-0.332262146
East,10262,ind9,ind16,0,M,F,Athos_Monouie,0,0.863436085,-1.068526484,0.661544848,-0.36098373,-0.036722837
East,10262,ind9,ind14,0,M,F,Athos_Pola,0,0.863436085,0.372974911,0.302845148,-0.36098373,-0.431045147
East,10262,ind9,ind15,0,M,M,Athos_Poseidon,0,0.863436085,1.196689993,-0.342456647,-0.36098373,-1.022393664
East,10262,ind9,ind21,0,M,F,Athos_Wandy,0,0.863436085,-0.244811401,0.015887543,-0.36098373,-0.13523594
East,10262,ind9,ind22,0,M,F,Athos_Yeha,0,0.863436085,0.16704614,-0.559636761,-0.36098373,0.357599474
South,10266,ind35,ind23,0,F,F,Bienvenue_Kinshasa,0,-2.082875486,-1.425469686,-0.80239487,0.07955478,-0.722535973
South,10266,ind35,ind24,1,F,M,Ibrahim_Kinshasa,0,-2.082875486,0.675003774,-0.388183249,0.07955478,-1.175696247
South,10266,ind35,ind25,0,F,F,Isha_Kinshasa,0,-2.082875486,-0.725311866,-0.246999822,0.07955478,1.741910996
South,10266,ind35,ind26,0,F,M,Jacobo_Kinshasa,0,-2.082875486,1.141775654,-0.397969868,0.07955478,-1.067736682
South,10266,ind35,ind27,0,F,F,Julia_Kinshasa,0,-2.082875486,-0.958697806,-0.713203943,0.07955478,1.741910996
South,10266,ind35,ind28,0,F,M,Kinshasa_Kuba,0,-2.082875486,1.608547534,0.294054631,0.07955478,-0.823478166
South,10267,ind35,ind23,0,F,F,Bienvenue_Kinshasa,0,-2.082875486,-1.425469686,-0.80239487,0.07955478,-0.722535973
South,10267,ind35,ind24,1,F,M,Ibrahim_Kinshasa,0,-2.082875486,0.675003774,-0.388183249,0.07955478,-1.175696247
South,10267,ind35,ind25,0,F,F,Isha_Kinshasa,0,-2.082875486,-0.725311866,-0.246999822,0.07955478,1.741910996
South,10267,ind35,ind26,1,F,M,Jacobo_Kinshasa,0,-2.082875486,1.141775654,-0.397969868,0.07955478,-1.067736682
South,10267,ind35,ind27,0,F,F,Julia_Kinshasa,0,-2.082875486,-0.958697806,-0.713203943,0.07955478,1.741910996
South,10267,ind35,ind28,0,F,M,Kinshasa_Kuba,0,-2.082875486,1.608547534,0.294054631,0.07955478,-0.823478166
South,10269,ind35,ind23,0,F,F,Bienvenue_Kinshasa,0,-2.082875486,-1.425469686,-0.80239487,0.07955478,-0.722535973
South,10269,ind35,ind24,0,F,M,Ibrahim_Kinshasa,0,-2.082875486,0.675003774,-0.388183249,0.07955478,-1.175696247
South,10269,ind35,ind25,1,F,F,Isha_Kinshasa,0,-2.082875486,-0.725311866,-0.246999822,0.07955478,1.741910996
South,10269,ind35,ind27,0,F,F,Julia_Kinshasa,0,-2.082875486,-0.958697806,-0.713203943,0.07955478,1.741910996
South,10269,ind35,ind29,0,F,F,Kinshasa_Mbeli,0,-2.082875486,-1.192083746,-0.655290269,0.07955478,-1.018345181
North,10303,ind1,ind7,0,M,F,Belle_Faust,0,0.780860088,-0.141847016,-1.220342464,-0.845695478,1.191317215
North,10303,ind1,ind4,0,M,M,Faust_Noureyev,0,0.780860088,1.608547534,-0.246147803,-0.845695478,-0.897160569
North,10303,ind1,ind8,1,M,F,Faust_Pandora,0,0.780860088,-1.308776716,-1.023946424,-0.845695478,-0.735491121
North,10303,ind1,ind5,0,M,F,Faust_Perla,0,0.780860088,-0.725311866,-1.414871643,-0.845695478,1.158659446
North,10303,ind1,ind6,0,M,F,Faust_Surprise,0,0.780860088,-1.017044291,-0.7175761,-0.845695478,-0.583268134
North,10304,ind1,ind7,0,M,F,Belle_Faust,0,0.780860088,-0.141847016,-1.220342464,-0.845695478,1.191317215
North,10304,ind1,ind4,0,M,M,Faust_Noureyev,0,0.780860088,1.608547534,-0.246147803,-0.845695478,-0.897160569
North,10304,ind1,ind8,1,M,F,Faust_Pandora,0,0.780860088,-1.308776716,-1.023946424,-0.845695478,-0.735491121
North,10304,ind1,ind5,0,M,F,Faust_Perla,0,0.780860088,-0.725311866,-1.414871643,-0.845695478,1.158659446
North,10304,ind1,ind6,0,M,F,Faust_Surprise,0,0.780860088,-1.017044291,-0.7175761,-0.845695478,-0.583268134
North,10316,ind3,ind7,0,F,F,Belle_Narcisse,0,-0.34217347,-0.141847016,1.482581012,0.854974189,1.194016204
North,10316,ind3,ind1,0,F,M,Faust_Narcisse,0,-0.34217347,1.316815109,-0.82215853,0.854974189,-1.063688198
North,10316,ind3,ind6,1,F,F,Narcisse_Surprise,0,-0.34217347,-1.017044291,0.508640529,0.854974189,-0.580569145
East,10320,ind9,ind10,0,M,F,Athos_Bamou,0,1.061618478,-1.274455254,-0.206990907,-0.343672596,0.767575922
East,10320,ind9,ind17,0,M,F,Athos_Chantal,0,1.061618478,0.578903681,-0.804180727,-0.343672596,0.274740508
East,10320,ind9,ind19,0,M,F,Athos_Elisa,0,1.061618478,-0.038882631,-0.92108243,-0.343672596,0.767575922
East,10320,ind9,ind11,0,M,F,Athos_Fatima,0,1.061618478,-1.480384025,-0.344177661,-0.343672596,-1.105252631
East,10320,ind9,ind20,0,M,M,Athos_Fredy,0,1.061618478,1.402618764,2.369301913,-0.343672596,1.06338513
East,10320,ind9,ind12,0,M,F,Athos_Indira,0,1.061618478,-0.862597713,0.898782854,-0.343672596,-0.218094906
East,10320,ind9,ind13,0,M,F,Athos_Korie,0,1.061618478,-0.450740172,-0.79026685,-0.343672596,-0.316608009
East,10320,ind9,ind14,0,M,F,Athos_Pola,0,1.061618478,0.372974911,0.291668458,-0.343672596,-0.415391011
East,10320,ind9,ind15,1,M,M,Athos_Poseidon,0,1.061618478,0.784832452,-0.092746156,-0.343672596,-1.006739528
East,10320,ind9,ind22,0,M,F,Athos_Yeha,0,1.061618478,0.16704614,-0.569138782,-0.343672596,0.373253611
East,10338,ind16,ind17,0,F,F,Chantal_Monouie,0,-1.514752627,0.578903681,-0.718485911,0.336535577,0.298491613
East,10338,ind16,ind18,0,F,F,Ehra_Monouie,0,-1.514752627,-0.656668943,-0.586653919,0.336535577,0.298491613
East,10338,ind16,ind20,1,F,M,Fredy_Monouie,0,-1.514752627,1.402618764,1.209779977,0.336535577,1.087136234
East,10338,ind16,ind12,0,F,F,Indira_Monouie,0,-1.514752627,-0.862597713,-0.625178724,0.336535577,-0.194343801
East,10338,ind16,ind14,0,F,F,Monouie_Pola,0,-1.514752627,0.372974911,-0.611240129,0.336535577,-0.391639906
North,10343,ind4,ind1,1,M,M,Faust_Noureyev,0,1.061618478,1.339256065,-0.129515658,-0.623336948,-1.034539116
North,10343,ind4,ind3,0,M,F,Narcisse_Noureyev,0,1.061618478,0.262090188,1.016984001,-0.623336948,0.500645898
North,10343,ind4,ind8,0,M,F,Noureyev_Pandora,0,1.061618478,-1.084367158,-0.498838216,-0.623336948,-0.703643049
North,10343,ind4,ind5,0,M,F,Noureyev_Perla,0,1.061618478,-0.54578422,0.68050731,-0.623336948,1.190507518
North,10343,ind4,ind6,0,M,F,Noureyev_Surprise,0,1.061618478,-0.815075689,1.370387221,-0.623336948,-0.551420062
East,10362,ind9,ind10,0,M,F,Athos_Bamou,0,1.061618478,-1.274455254,-0.267311596,-0.294126937,0.812379142
East,10362,ind9,ind17,0,M,F,Athos_Chantal,1,1.061618478,0.578903681,-0.745299671,-0.294126937,0.319543728
East,10362,ind9,ind18,0,M,F,Athos_Ehra,0,1.061618478,-0.656668943,-0.345508546,-0.294126937,0.319543728
East,10362,ind9,ind19,0,M,F,Athos_Elisa,0,1.061618478,-0.038882631,-0.862209689,-0.294126937,0.812379142
East,10362,ind9,ind11,0,M,F,Athos_Fatima,0,1.061618478,-1.480384025,-0.199260744,-0.294126937,-1.060449411
East,10362,ind9,ind20,1,M,M,Athos_Fredy,0,1.061618478,1.402618764,2.469106202,-0.294126937,1.10818835
East,10362,ind9,ind12,0,M,F,Athos_Indira,0,1.061618478,-0.862597713,1.058606475,-0.294126937,-0.173291686
East,10362,ind9,ind16,0,M,F,Athos_Monouie,0,1.061618478,-1.068526484,0.720112115,-0.294126937,0.02373452
East,10362,ind9,ind14,0,M,F,Athos_Pola,0,1.061618478,0.372974911,0.291566891,-0.294126937,-0.370587791
East,10362,ind9,ind21,0,M,F,Athos_Wandy,0,1.061618478,-0.244811401,0.005359311,-0.294126937,-0.074778583
East,10362,ind9,ind22,0,M,F,Athos_Yeha,0,1.061618478,0.16704614,-0.614419649,-0.294126937,0.418056831
East,10364,ind14,ind9,0,F,M,Athos_Pola,0,-0.127475878,1.608547534,0.290354978,-0.075946957,-0.567344098
East,10364,ind14,ind17,0,F,F,Chantal_Pola,0,-0.127475878,0.578903681,-0.773922523,-0.075946957,0.319813627
East,10364,ind14,ind18,0,F,F,Ehra_Pola,0,-0.127475878,-0.656668943,-0.524147886,-0.075946957,0.319813627
East,10364,ind14,ind19,0,F,F,Elisa_Pola,0,-0.127475878,-0.038882631,-0.800225318,-0.075946957,0.812649041
East,10364,ind14,ind11,1,F,F,Fatima_Pola,0,-0.127475878,-1.480384025,-0.757837562,-0.075946957,-1.060179512
East,10364,ind14,ind20,0,F,M,Fredy_Pola,0,-0.127475878,1.402618764,1.007473024,-0.075946957,1.108458249
East,10364,ind14,ind12,0,F,F,Indira_Pola,0,-0.127475878,-0.862597713,0.273032196,-0.075946957,-0.173021787
East,10364,ind14,ind13,0,F,F,Korie_Pola,0,-0.127475878,-0.450740172,-0.759869367,-0.075946957,-0.27153489
East,10364,ind14,ind21,0,F,F,Pola_Wandy,0,-0.127475878,-0.244811401,-0.842211603,-0.075946957,-0.074508684
East,10364,ind14,ind22,0,F,F,Pola_Yeha,0,-0.127475878,0.16704614,-0.798962777,-0.075946957,0.41832673
East,10380,ind20,ind9,0,M,M,Athos_Fredy,0,0.665253693,1.608547534,2.504195547,1.568909227,-0.558707333
East,10380,ind20,ind19,0,M,F,Elisa_Fredy,0,0.665253693,-0.038882631,-0.264537347,1.568909227,0.821285806
East,10380,ind20,ind11,0,M,F,Fatima_Fredy,0,0.665253693,-1.480384025,-0.429440433,1.568909227,-1.051542747
East,10380,ind20,ind12,1,M,F,Fredy_Indira,0,0.665253693,-0.862597713,2.182733469,1.568909227,-0.164385022
East,10380,ind20,ind14,0,M,F,Fredy_Pola,0,0.665253693,0.372974911,1.013741201,1.568909227,-0.361681127
East,10380,ind20,ind15,0,M,M,Fredy_Poseidon,0,0.665253693,1.402618764,1.097696953,1.568909227,-0.953029644
East,10386,ind15,ind9,0,M,M,Athos_Poseidon,0,0.665253693,1.608547534,0.043151008,-0.719742056,-0.558167535
East,10386,ind15,ind10,0,M,F,Bamou_Poseidon,0,0.665253693,-1.274455254,-0.252100006,-0.719742056,0.821825604
East,10386,ind15,ind17,0,M,F,Chantal_Poseidon,0,0.665253693,0.578903681,-0.721520424,-0.719742056,0.32899019
East,10386,ind15,ind18,0,M,F,Ehra_Poseidon,0,0.665253693,-0.656668943,-0.684696065,-0.719742056,0.32899019
East,10386,ind15,ind19,0,M,F,Elisa_Poseidon,0,0.665253693,-0.038882631,-0.648553623,-0.719742056,0.821825604
East,10386,ind15,ind11,0,M,F,Fatima_Poseidon,0,0.665253693,-1.480384025,-0.67054479,-0.719742056,-1.051002949
East,10386,ind15,ind20,1,M,M,Fredy_Poseidon,0,0.665253693,1.402618764,1.11379443,-0.719742056,1.117634812
East,10386,ind15,ind12,0,M,F,Indira_Poseidon,0,0.665253693,-0.862597713,-0.461694482,-0.719742056,-0.163845224
East,10386,ind15,ind13,0,M,F,Korie_Poseidon,0,0.665253693,-0.450740172,-0.757538366,-0.719742056,-0.262358327
