Focal,day.id,time_play_min,hunt_day
Fredy,Fredy_2012-01-26,522,no
Pandora,Pandora_2012-02-10,549,no
Fredy,Fredy_2012-02-28,594,no
Kinshasa,Kinshasa_2012-03-19,560,no
Athos,Athos_2012-05-01,678,no
Noureyev,Noureyev_2012-08-15,946,no
Poseidon,Poseidon_2012-11-18,1037,no
Wandy,Wandy_2013-01-19,429,no
Indira,Indira_2013-01-20,575,no
Athos,Athos_2013-01-23,551,no
Noureyev,Noureyev_2013-01-27,432,no
Athos,Athos_2013-01-30,409,no
Noureyev,Noureyev_2013-02-26,738,no
Kuba,Kuba_2013-05-04,455,no
Noureyev,Noureyev_2013-05-12,767,no
Fredy,Fredy_2013-05-16,755,no
Fredy,Fredy_2013-06-06,924,no
Fatima,Fatima_2013-07-05,405,no
Fredy,Fredy_2013-08-06,458,no
Noureyev,Noureyev_2013-08-17,477,no
Jacobo,Jacobo_2013-09-20,915,no
Poseidon,Poseidon_2013-10-17,923,no
Jacobo,Jacobo_2013-10-18,560,no
Kuba,Kuba_2013-10-20,680,no
Mbeli,Mbeli_2013-11-12,521,no
Fatima,Fatima_2013-11-12,861,no
Noureyev,Noureyev_2013-11-30,758,no
Ibrahim,Ibrahim_2013-12-01,895,no
Fredy,Fredy_2013-12-02,450,no
Poseidon,Poseidon_2013-12-03,820,no
Fredy,Fredy_2013-12-09,445,no
Noureyev,Noureyev_2013-12-20,474,no
Jacobo,Jacobo_2013-12-20,914,no
Indira,Indira_2013-12-29,640,no
Fredy,Fredy_2014-01-18,584,no
Fatima,Fatima_2014-01-18,642,no
Kuba,Kuba_2014-01-20,484,no
Poseidon,Poseidon_2014-01-22,479,no
Fredy,Fredy_2014-01-23,398,no
Belle,Belle_2014-01-24,982,no
Ibrahim,Ibrahim_2014-01-25,907,no
Noureyev,Noureyev_2014-01-30,677,no
Athos,Athos_2014-02-02,520,no
Fredy,Fredy_2014-02-04,422,no
Fatima,Fatima_2014-02-15,462,no
Athos,Athos_2014-02-25,556,no
Poseidon,Poseidon_2014-03-10,399,no
Athos,Athos_2014-03-13,662,no
Fredy,Fredy_2014-03-23,567,no
Fredy,Fredy_2014-03-30,472,no
Kuba,Kuba_2014-04-04,647,no
Poseidon,Poseidon_2014-04-08,506,no
Kuba,Kuba_2014-05-12,413,no
Poseidon,Poseidon_2014-07-07,910,no
Noureyev,Noureyev_2014-07-18,960,no
Fredy,Fredy_2014-10-13,497,no
Fredy,Fredy_2014-10-16,694,no
Willy,Willy_2014-10-18,717,no
Sumatra,Sumatra_2014-11-07,544,no
Willy,Willy_2014-11-08,435,no
Indira,Indira_2014-11-09,980,no
Willy,Willy_2014-11-14,426,no
Yeda_since2013,Yeda_since2013_2014-11-16,638,no
Willy,Willy_2014-11-19,819,no
Jacobo,Jacobo_2014-11-25,812,no
Richelieu,Richelieu_2014-12-04,647,no
Fredy,Fredy_2014-12-04,997,no
Athos,Athos_2014-12-08,661,no
Indira,Indira_2014-12-19,463,no
Ibrahim,Ibrahim_2014-12-19,483,no
Belle,Belle_2014-12-24,642,no
Jacobo,Jacobo_2015-01-03,443,no
