Focal,day.id,before.enc,time.encounter,time_min,encounter_day
Woodstock,Woodstock_2012-03-26,1,963,806,yes
Wandy,Wandy_2013-04-03,1,720,496,yes
Chantal,Chantal_2013-05-03,1,821,485,yes
Athos,Athos_2013-11-11,0,469,832,yes
Fredy,Fredy_2013-11-28,1,733,620,yes
Mystere,Mystere_2013-12-19,1,731,494,yes
Surprise,Surprise_2013-12-19,1,731,627,yes
Mbeli,Mbeli_2013-12-29,1,508,468,yes
Woodstock,Woodstock_2014-01-06,1,685,477,yes
Fredy,Fredy_2014-01-12,1,793,611,yes
Poseidon,Poseidon_2014-01-20,1,845,441,yes
Rwenzori,Rwenzori_2014-03-25,1,680,436,yes
Fatima,Fatima_2014-03-25,1,680,659,yes
Shogun,Shogun_2014-04-05,0,430,975,yes
Sumatra,Sumatra_2014-04-06,1,534,470,yes
Shogun,Shogun_2014-04-06,1,534,480,yes
Kuba,Kuba_2014-04-09,0,509,834,yes
Woodstock,Woodstock_2014-04-11,1,780,463,yes
Ibrahim,Ibrahim_2014-04-11,1,780,543,yes
Shogun,Shogun_2014-04-15,1,998,567,yes
Yeda_since2013,Yeda_since2013_2014-04-22,1,735,516,yes
Elisa,Elisa_2014-04-22,1,735,562,yes
Poseidon,Poseidon_2014-04-22,1,735,642,yes
Jacobo,Jacobo_2014-04-26,1,982,727,yes
Kuba,Kuba_2014-05-13,0,424,571,yes
Fredy,Fredy_2014-09-16,1,860,414,yes
Fatima,Fatima_2014-10-11,1,984,411,yes
Indira,Indira_2014-10-11,1,984,431,yes
Indira,Indira_2014-10-15,1,594,427,yes
Fatima,Fatima_2014-11-02,1,499,431,yes
Willy,Willy_2014-11-02,1,499,439,yes
Fredy,Fredy_2014-11-06,1,471,446,yes
Wandy,Wandy_2014-11-06,0,471,758,yes
Poseidon,Poseidon_2014-11-12,1,555,514,yes
Elisa,Elisa_2014-11-12,0,555,948,yes
Fatima,Fatima_2014-11-29,1,572,442,yes
Willy,Willy_2014-12-06,0,610,706,yes
Mbeli,Mbeli_2014-12-06,0,631,738,yes
Indira,Indira_2014-12-25,1,582,500,yes
Fredy,Fredy_2014-12-25,1,582,528,yes
Poseidon,Poseidon_2014-12-25,0,582,800,yes
Willy,Willy_2014-12-30,1,464,408,yes
Richelieu,Richelieu_2014-12-30,0,464,774,yes
Kuba,Kuba_2014-12-31,1,707,538,yes
Fredy,Fredy_2015-01-02,1,480,410,yes
Richelieu,Richelieu_2015-01-05,1,857,472,yes
Woodstock,Woodstock_2015-01-08,0,633,1018,yes
Poseidon,Poseidon_2015-01-09,1,629,489,yes
Woodstock,Woodstock_2015-01-12,1,623,512,yes
Kinshasa,Kinshasa_2015-01-12,0,623,668,yes
Willy,Willy_2015-01-15,1,785,416,yes
Athos,Athos_2015-01-17,1,722,484,yes
Poseidon,Poseidon_2015-01-17,1,722,525,yes
Kinshasa,Kinshasa_2015-01-18,1,710,628,yes
Woodstock,Woodstock_2015-01-18,0,710,871,yes
Rwenzori,Rwenzori_2015-01-23,1,921,471,yes
Poseidon,Poseidon_2015-01-23,1,921,546,yes
Indira,Indira_2015-01-23,1,921,632,yes
Athos,Athos_2015-02-07,1,795,468,yes
Wandy,Wandy_2015-02-07,1,795,649,yes
Korie,Korie_2015-02-11,1,994,818,yes
Fredy,Fredy_2015-02-13,1,601,588,yes
Athos,Athos_2015-02-13,0,601,738,yes
Poseidon,Poseidon_2015-02-15,0,472,617,yes
Willy,Willy_2015-02-15,0,472,939,yes
Fredy,Fredy_2015-02-27,1,758,655,yes
Willy,Willy_2015-03-05,1,624,493,yes
Fredy,Fredy_2015-03-05,0,624,640,yes
Richelieu,Richelieu_2015-03-13,1,864,630,yes
Ibrahim,Ibrahim_2015-03-16,0,385,484,yes
Richelieu,Richelieu_2015-03-16,1,598,580,yes
Gaia,Gaia_2015-03-16,0,385,793,yes
Athos,Athos_2015-03-22,1,873,509,yes
Richelieu,Richelieu_2015-03-25,1,624,500,yes
Porthos,Porthos_2015-07-20,1,1060,512,yes
Noureyev,Noureyev_2015-07-20,1,1060,890,yes
Narcisse,Narcisse_2015-09-15,0,535,877,yes
Fredy,Fredy_2015-11-05,1,558,448,yes
Noureyev,Noureyev_2015-11-11,1,843,697,yes
Gia,Gia_2015-11-15,1,519,476,yes
Narcisse,Narcisse_2015-11-29,1,536,505,yes
Perla,Perla_2015-12-02,1,871,433,yes
Rwenzori,Rwenzori_2015-12-03,1,1001,463,yes
Athos,Athos_2015-12-03,1,1001,817,yes
Fredy,Fredy_2015-12-29,1,429,427,yes
Richelieu,Richelieu_2016-01-23,1,982,569,yes
Willy,Willy_2016-06-06,1,1047,781,yes
Fredy,Fredy_2016-06-07,1,615,477,yes
Belle,Belle_2016-10-03,1,655,596,yes
Perla,Perla_2016-11-08,0,959,1027,yes
Richelieu,Richelieu_2016-11-21,1,798,552,yes
Pandora,Pandora_2016-12-23,0,509,567,yes
Kuba,Kuba_2016-12-25,1,630,408,yes
Kinshasa,Kinshasa_2016-12-25,1,630,470,yes
Surprise,Surprise_2017-02-13,1,1043,522,yes
Surprise,Surprise_2017-02-25,1,740,487,yes
Pandora,Pandora_2017-03-02,1,1011,458,yes
Belle,Belle_2017-03-10,0,733,875,yes
Naomi,Naomi_2017-03-26,1,746,492,yes
Rwenzori,Rwenzori_2017-04-24,1,591,466,yes
Yeha,Yeha_2017-05-07,1,940,473,yes
Fredy,Fredy_2017-05-10,0,647,688,yes
Narcisse,Narcisse_2017-08-16,0,461,629,yes
Porthos,Porthos_2017-10-14,0,423,863,yes
