Focal,day.id,before.hunt,time.hunt,time_min,hunt_day
Athos,Athos_2012-02-21,1,571,460,yes
Fredy,Fredy_2012-02-27,1,587,547,yes
Noureyev,Noureyev_2012-09-21,1,975,872,yes
Fredy,Fredy_2012-12-14,1,780,431,yes
Jacobo,Jacobo_2013-01-22,1,654,540,yes
Noureyev,Noureyev_2013-03-30,0,506,668,yes
Kuba,Kuba_2013-10-19,1,743,658,yes
Kuba,Kuba_2013-10-27,0,521,711,yes
Fredy,Fredy_2013-11-05,0,445,513,yes
Poseidon,Poseidon_2013-11-13,1,630,458,yes
Fredy,Fredy_2013-12-08,1,691,485,yes
Athos,Athos_2013-12-10,1,660,460,yes
Ibrahim,Ibrahim_2014-01-28,1,954,573,yes
Fredy,Fredy_2014-01-29,1,1003,630,yes
Fredy,Fredy_2014-01-30,1,666,540,yes
Fredy,Fredy_2014-02-06,1,617,404,yes
Athos,Athos_2014-02-10,1,590,524,yes
Fredy,Fredy_2014-02-11,1,621,518,yes
Fredy,Fredy_2014-02-19,1,772,476,yes
Shogun,Shogun_2014-03-01,0,638,734,yes
Kuba,Kuba_2014-03-01,0,638,774,yes
Kuba,Kuba_2014-03-03,1,843,458,yes
Shogun,Shogun_2014-03-03,1,843,525,yes
Fredy,Fredy_2014-03-11,1,765,499,yes
Fredy,Fredy_2014-03-12,1,769,492,yes
Athos,Athos_2014-03-12,1,769,565,yes
Kuba,Kuba_2014-03-24,0,718,931,yes
Fredy,Fredy_2014-05-02,0,740,895,yes
Kuba,Kuba_2014-05-13,0,554,571,yes
Poseidon,Poseidon_2014-05-13,1,660,575,yes
Shogun,Shogun_2014-05-19,0,852,978,yes
Willy,Willy_2014-06-23,1,807,760,yes
Fredy,Fredy_2014-09-17,1,884,455,yes
Fredy,Fredy_2014-09-23,1,739,439,yes
Richelieu,Richelieu_2014-09-26,0,947,1056,yes
Ibrahim,Ibrahim_2014-09-28,0,587,719,yes
Fredy,Fredy_2014-10-02,1,864,483,yes
Shogun,Shogun_2014-10-26,1,643,606,yes
Fredy,Fredy_2014-10-30,1,856,699,yes
Richelieu,Richelieu_2014-11-04,1,958,693,yes
Poseidon,Poseidon_2014-11-04,1,958,764,yes
Ibrahim,Ibrahim_2014-11-13,0,390,970,yes
Willy,Willy_2014-11-22,1,1017,867,yes
Fredy,Fredy_2014-11-27,0,307,581,yes
Willy,Willy_2014-11-28,1,661,420,yes
Fredy,Fredy_2014-12-05,1,820,413,yes
Richelieu,Richelieu_2014-12-05,1,820,445,yes
Shogun,Shogun_2014-12-11,1,855,504,yes
Kuba,Kuba_2014-12-23,1,668,506,yes
Jacobo,Jacobo_2014-12-23,1,668,607,yes
Willy,Willy_2014-12-30,1,500,408,yes
Richelieu,Richelieu_2014-12-30,0,500,774,yes
Kuba,Kuba_2014-12-31,1,918,538,yes
Athos,Athos_2015-01-11,1,800,411,yes
Willy,Willy_2015-01-14,1,793,459,yes
Athos,Athos_2015-01-17,1,820,484,yes
Poseidon,Poseidon_2015-01-17,1,820,525,yes
Willy,Willy_2015-01-22,1,655,495,yes
Poseidon,Poseidon_2015-01-22,1,655,552,yes
Fredy,Fredy_2015-01-29,1,1065,570,yes
Athos,Athos_2015-02-07,1,579,468,yes
Richelieu,Richelieu_2015-02-12,0,510,803,yes
Fredy,Fredy_2015-02-13,1,811,588,yes
Athos,Athos_2015-02-13,1,811,738,yes
Richelieu,Richelieu_2015-02-28,1,765,516,yes
Willy,Willy_2015-03-01,1,1108,648,yes
Noureyev,Noureyev_2015-04-06,1,612,539,yes
Richelieu,Richelieu_2015-04-17,1,813,498,yes
Richelieu,Richelieu_2015-04-19,1,657,457,yes
Woodstock,Woodstock_2015-04-28,1,529,521,yes
Woodstock,Woodstock_2015-05-05,1,761,584,yes
Fredy,Fredy_2015-11-05,1,576,448,yes
Fredy,Fredy_2015-11-07,1,1051,459,yes
Faust,Faust_2015-11-09,0,589,777,yes
Poseidon,Poseidon_2015-12-02,1,921,445,yes
Fredy,Fredy_2015-12-02,1,921,456,yes
Willy,Willy_2015-12-15,1,777,696,yes
Willy,Willy_2015-12-23,1,831,505,yes
Poseidon,Poseidon_2015-12-25,1,807,526,yes
Richelieu,Richelieu_2015-12-28,1,640,530,yes
Willy,Willy_2016-01-08,1,747,475,yes
Willy,Willy_2016-01-22,1,1007,689,yes
Richelieu,Richelieu_2016-01-23,1,788,569,yes
Fredy,Fredy_2016-01-25,1,813,401,yes
Athos,Athos_2016-01-25,1,813,489,yes
Willy,Willy_2016-02-06,1,531,487,yes
Athos,Athos_2016-03-01,1,624,495,yes
Willy,Willy_2016-07-07,1,1040,616,yes
Fredy,Fredy_2016-09-08,1,680,603,yes
Fredy,Fredy_2016-11-20,1,581,421,yes
Athos,Athos_2017-02-06,0,633,910,yes
Poseidon,Poseidon_2017-02-13,0,481,842,yes
Ibrahim,Ibrahim_2017-02-25,1,626,476,yes
Richelieu,Richelieu_2017-09-15,1,892,455,yes
Fredy,Fredy_2017-10-04,1,954,878,yes
